agent_slug,agent_name,bad_url,status_code,severity,redirect_destination,notes
artisan-ava,Artisan Ava,https://www.crunchbase.com/organization/artisan-3,403,LOW,,"Access blocked, manual check needed"
ashby,Ashby,https://www.g2.com/products/ashby-ashby/reviews,403,LOW,,"Access blocked, manual check needed"
assembled,Assembled,https://www.g2.com/products/assembled/reviews,403,LOW,,"Access blocked, manual check needed"
attention,Attention,https://www.crunchbase.com/organization/attention-a23c,403,LOW,,"Access blocked, manual check needed"
attention,Attention,https://www.g2.com/products/attention/reviews,403,LOW,,"Access blocked, manual check needed"
augment-code,Augment Code,https://www.crunchbase.com/organization/augment,403,LOW,,"Access blocked, manual check needed"
aurionx,Aurionx,https://www.crunchbase.com/organization/aurionx,403,LOW,,"Access blocked, manual check needed"
avina,Avina,https://www.crunchbase.com/organization/avina,403,LOW,,"Access blocked, manual check needed"
axiom-ai,Axiom.ai,https://www.crunchbase.com/organization/axiom-ai,403,LOW,,"Access blocked, manual check needed"
axiom-ai,Axiom.ai,https://www.producthunt.com/products/axiom-ai,403,LOW,,"Access blocked, manual check needed"
backstory,Backstory,https://www.crunchbase.com/organization/people-ai,403,LOW,,"Access blocked, manual check needed"
balto,Balto,https://www.g2.com/products/balto/reviews,403,LOW,,"Access blocked, manual check needed"
balto,Balto,https://www.crunchbase.com/organization/balto-ai,403,LOW,,"Access blocked, manual check needed"
bardeen,Bardeen,https://www.g2.com/products/bardeen/reviews,403,LOW,,"Access blocked, manual check needed"
bardeen,Bardeen,https://www.producthunt.com/products/bardeen,403,LOW,,"Access blocked, manual check needed"
beam-ai,Beam AI,https://www.crunchbase.com/organization/beam-ai,403,LOW,,"Access blocked, manual check needed"
beamery,Beamery,https://www.g2.com/products/beamery/reviews,403,LOW,,"Access blocked, manual check needed"
blackbox-ai,Blackbox AI,https://www.crunchbase.com/organization/blackbox-ai,403,LOW,,"Access blocked, manual check needed"
brand24,Brand24,https://www.g2.com/products/brand24/reviews,403,LOW,,"Access blocked, manual check needed"
browse-ai,Browse AI,https://www.g2.com/products/browse-ai/reviews,403,LOW,,"Access blocked, manual check needed"
canva-ai,Canva AI,https://www.g2.com/products/canva/reviews,403,LOW,,"Access blocked, manual check needed"
capacity,Capacity,https://www.g2.com/products/capacity/reviews,403,LOW,,"Access blocked, manual check needed"
catdoes,CatDoes,https://www.saasworthy.com/product/catdoes,403,LOW,,"Access blocked, manual check needed"
catdoes,CatDoes,https://www.toolify.ai/tool/catdoes,403,LOW,,"Access blocked, manual check needed"
causaly,Causaly,https://www.crunchbase.com/organization/causaly,403,LOW,,"Access blocked, manual check needed"
chatbase,Chatbase,https://www.crunchbase.com/organization/chatbase,403,LOW,,"Access blocked, manual check needed"
chatgpt,ChatGPT,https://www.g2.com/products/chatgpt/reviews,403,LOW,,"Access blocked, manual check needed"
chatgpt,ChatGPT,https://www.crunchbase.com/organization/openai,403,LOW,,"Access blocked, manual check needed"
chatgpt-agent,ChatGPT Agent,https://openai.com/index/introducing-operator/,403,LOW,,"Access blocked, manual check needed"
chatgpt-agent,ChatGPT Agent,https://openai.com/chatgpt/pricing,403,LOW,,"Access blocked, manual check needed"
chili-piper,Chili Piper,https://www.g2.com/products/chili-piper/reviews,403,LOW,,"Access blocked, manual check needed"
chili-piper,Chili Piper,https://www.crunchbase.com/organization/chili-piper,403,LOW,,"Access blocked, manual check needed"
clari,Clari,https://www.g2.com/products/clari/reviews,403,LOW,,"Access blocked, manual check needed"
clari-copilot,Clari Copilot,https://www.g2.com/products/clari-copilot/reviews,403,LOW,,"Access blocked, manual check needed"
clari-copilot,Clari Copilot,https://www.crunchbase.com/organization/clari,403,LOW,,"Access blocked, manual check needed"
claude-for-excel,Claude for Excel,https://marketplace.microsoft.com/en-us/product/saas/wa200009404,403,LOW,,"Access blocked, manual check needed"
claude-for-powerpoint,Claude for PowerPoint,https://marketplace.microsoft.com/en-us/product/office/wa200010001,403,LOW,,"Access blocked, manual check needed"
clay,Clay,https://www.g2.com/products/clay-com-clay/reviews,403,LOW,,"Access blocked, manual check needed"
clearscope,Clearscope,https://www.g2.com/products/clearscope/reviews,403,LOW,,"Access blocked, manual check needed"
close-crm,Close CRM,https://www.g2.com/products/close/reviews,403,LOW,,"Access blocked, manual check needed"
cognee,Cognee,https://www.crunchbase.com/organization/cognee-inc,403,LOW,,"Access blocked, manual check needed"
cognism-v2,Cognism,https://www.g2.com/products/cognism/reviews,403,LOW,,"Access blocked, manual check needed"
cognism-v2,Cognism,https://www.crunchbase.com/organization/cognism,403,LOW,,"Access blocked, manual check needed"
common-room,Common Room,https://www.g2.com/products/common-room/reviews,403,LOW,,"Access blocked, manual check needed"
common-room,Common Room,https://www.crunchbase.com/organization/common-room,403,LOW,,"Access blocked, manual check needed"
connected-papers,Connected Papers,https://www.crunchbase.com/organization/connected-papers,403,LOW,,"Access blocked, manual check needed"
consensus,Consensus,https://www.g2.com/products/consensus/reviews,403,LOW,,"Access blocked, manual check needed"
consensus,Consensus,https://www.crunchbase.com/organization/consensus-2,403,LOW,,"Access blocked, manual check needed"
contentful-ai,Contentful AI,https://www.g2.com/products/contentful/reviews,403,LOW,,"Access blocked, manual check needed"
contextpool,ContextPool,https://www.crunchbase.com/organization/contextpool,403,LOW,,"Access blocked, manual check needed"
contextpool,ContextPool,https://www.producthunt.com/products/contextpool,403,LOW,,"Access blocked, manual check needed"
conversica,Conversica,https://www.g2.com/products/conversica/reviews,403,LOW,,"Access blocked, manual check needed"
copy-ai,Copy.ai,https://www.g2.com/products/copyai/reviews,403,LOW,,"Access blocked, manual check needed"
copy-ai,Copy.ai,https://www.producthunt.com/products/copy-ai,403,LOW,,"Access blocked, manual check needed"
cosine,Cosine,https://www.crunchbase.com/organization/cosine-ai,403,LOW,,"Access blocked, manual check needed"
cursor,Cursor,https://www.g2.com/products/cursor/reviews,403,LOW,,"Access blocked, manual check needed"
cursor,Cursor,https://www.producthunt.com/products/cursor,403,LOW,,"Access blocked, manual check needed"
cursor-background-agent,Cursor Background Agent,https://www.g2.com/products/cursor/reviews,403,LOW,,"Access blocked, manual check needed"
custify,Custify,https://www.g2.com/products/custify/reviews,403,LOW,,"Access blocked, manual check needed"
customers-ai,Customers.ai,https://www.crunchbase.com/organization/customersai,403,LOW,,"Access blocked, manual check needed"
decagon,Decagon,https://www.g2.com/products/decagon/reviews,403,LOW,,"Access blocked, manual check needed"
decagon,Decagon,https://www.crunchbase.com/organization/decagon,403,LOW,,"Access blocked, manual check needed"
deel,Deel,https://www.g2.com/products/deel/reviews,403,LOW,,"Access blocked, manual check needed"
demandbase,Demandbase,https://www.g2.com/products/demandbase-one/reviews,403,LOW,,"Access blocked, manual check needed"
devin,Devin,https://www.g2.com/products/devin-ai/reviews,403,LOW,,"Access blocked, manual check needed"
devin,Devin,https://www.crunchbase.com/organization/cognition-labs,403,LOW,,"Access blocked, manual check needed"
dixa,Dixa,https://www.g2.com/products/dixa/reviews,403,LOW,,"Access blocked, manual check needed"
drift-conversational-marketing,Drift Conversational Marketing,https://www.g2.com/products/drift/reviews,403,LOW,,"Access blocked, manual check needed"
drift-conversational-marketing,Drift Conversational Marketing,https://www.crunchbase.com/organization/drift,403,LOW,,"Access blocked, manual check needed"
ebsta,Ebsta,https://www.g2.com/products/ebsta/reviews,403,LOW,,"Access blocked, manual check needed"
ebsta,Ebsta,https://www.crunchbase.com/organization/ebsta,403,LOW,,"Access blocked, manual check needed"
eightfold-ai,Eightfold AI,https://www.g2.com/products/eightfold-ai/reviews,403,LOW,,"Access blocked, manual check needed"
eleven-agents,ElevenAgents,https://www.g2.com/products/elevenlabs/reviews,403,LOW,,"Access blocked, manual check needed"
eleven-agents,ElevenAgents,https://www.crunchbase.com/organization/elevenlabs,403,LOW,,"Access blocked, manual check needed"
elicit,Elicit,https://www.g2.com/products/elicit/reviews,403,LOW,,"Access blocked, manual check needed"
explainpaper,Explainpaper,https://www.crunchbase.com/organization/explainpaper,403,LOW,,"Access blocked, manual check needed"
explainpaper,Explainpaper,https://www.producthunt.com/products/explainpaper,403,LOW,,"Access blocked, manual check needed"
factorial,Factorial,https://www.g2.com/products/factorial/reviews,403,LOW,,"Access blocked, manual check needed"
feedhive,FeedHive,https://www.g2.com/products/feedhive/reviews,403,LOW,,"Access blocked, manual check needed"
feedhive,FeedHive,https://www.producthunt.com/products/feedhive,403,LOW,,"Access blocked, manual check needed"
fetcher,Fetcher,https://www.crunchbase.com/organization/fetcher-2,403,LOW,,"Access blocked, manual check needed"
findem,Findem,https://www.crunchbase.com/organization/findem,403,LOW,,"Access blocked, manual check needed"
forethought,Forethought,https://www.g2.com/products/forethought/reviews,403,LOW,,"Access blocked, manual check needed"
forethought,Forethought,https://www.crunchbase.com/organization/forethought-ai,403,LOW,,"Access blocked, manual check needed"
freshchat,Freshchat,https://www.g2.com/products/freshchat/reviews,403,LOW,,"Access blocked, manual check needed"
freshdesk-freddy,Freshdesk Freddy AI,https://www.g2.com/products/freshdesk/reviews,403,LOW,,"Access blocked, manual check needed"
freshsales,Freshsales,https://www.g2.com/products/freshsales/reviews,403,LOW,,"Access blocked, manual check needed"
freshservice,Freshservice,https://www.g2.com/products/freshservice/reviews,403,LOW,,"Access blocked, manual check needed"
fuseai,FuseAI,https://www.producthunt.com/products/fuseai,403,LOW,,"Access blocked, manual check needed"
genesys-cloud,Genesys Cloud,https://www.g2.com/products/genesys-cloud-cx/reviews,403,LOW,,"Access blocked, manual check needed"
github-copilot,GitHub Copilot,https://www.g2.com/products/github-copilot/reviews,403,LOW,,"Access blocked, manual check needed"
github-copilot,GitHub Copilot,https://www.crunchbase.com/organization/github,403,LOW,,"Access blocked, manual check needed"
gladly,Gladly,https://www.g2.com/products/gladly/reviews,403,LOW,,"Access blocked, manual check needed"
gong,Gong,https://www.g2.com/products/gong/reviews,403,LOW,,"Access blocked, manual check needed"
goodtime,GoodTime,https://www.g2.com/products/goodtime/reviews,403,LOW,,"Access blocked, manual check needed"
goodtime,GoodTime,https://www.crunchbase.com/organization/goodtime-io,403,LOW,,"Access blocked, manual check needed"
gorgias,Gorgias,https://www.g2.com/products/gorgias/reviews,403,LOW,,"Access blocked, manual check needed"
gorgias,Gorgias,https://www.crunchbase.com/organization/gorgias,403,LOW,,"Access blocked, manual check needed"
greenhouse,Greenhouse,https://www.g2.com/products/greenhouse/reviews,403,LOW,,"Access blocked, manual check needed"
growthbar,GrowthBar,https://www.g2.com/products/seoptimer,403,LOW,,"Access blocked, manual check needed"
gusto,Gusto,https://www.g2.com/products/gusto/reviews,403,LOW,,"Access blocked, manual check needed"
hackerearth-onscreen,HackerEarth OnScreen,https://www.g2.com/products/hackerearth-assessments/reviews,403,LOW,,"Access blocked, manual check needed"
harvey-ai,Harvey AI,https://www.g2.com/products/harvey-ai/reviews,403,LOW,,"Access blocked, manual check needed"
harvey-ai,Harvey AI,https://www.crunchbase.com/organization/harvey-ai,403,LOW,,"Access blocked, manual check needed"
helpscout,Helpscout,https://www.g2.com/products/help-scout/reviews,403,LOW,,"Access blocked, manual check needed"
hireez,hireEZ,https://www.g2.com/products/hireez/reviews,403,LOW,,"Access blocked, manual check needed"
hireez,hireEZ,https://www.producthunt.com/products/hireez,403,LOW,,"Access blocked, manual check needed"
hirevue,HireVue,https://www.g2.com/products/hirevue/reviews,403,LOW,,"Access blocked, manual check needed"
hiver,Hiver,https://www.g2.com/products/hiver/reviews,403,LOW,,"Access blocked, manual check needed"
hootsuite,Hootsuite,https://www.g2.com/products/hootsuite/reviews,403,LOW,,"Access blocked, manual check needed"
hubspot-sales-hub,HubSpot Sales Hub,https://www.g2.com/products/hubspot-sales-hub/reviews,403,LOW,,"Access blocked, manual check needed"
humanly,Humanly,https://www.g2.com/products/humanly/reviews,403,LOW,,"Access blocked, manual check needed"
humanly,Humanly,https://www.crunchbase.com/organization/humanly,403,LOW,,"Access blocked, manual check needed"
influential,Influential,https://www.crunchbase.com/organization/influential,403,LOW,,"Access blocked, manual check needed"
inro,Inrō,https://www.crunchbase.com/organization/inro,403,LOW,,"Access blocked, manual check needed"
instantly-ai,Instantly.ai,https://www.g2.com/products/instantly/reviews,403,LOW,,"Access blocked, manual check needed"
instantly-ai,Instantly.ai,https://www.crunchbase.com/organization/instantly-9887,403,LOW,,"Access blocked, manual check needed"
instantly-ai,Instantly.ai,https://www.producthunt.com/products/instantly,403,LOW,,"Access blocked, manual check needed"
instantly-ai-sales-agent,Instantly AI Sales Agent,https://www.g2.com/products/instantly/reviews,403,LOW,,"Access blocked, manual check needed"
instantly-ai-sales-agent,Instantly AI Sales Agent,https://www.crunchbase.com/organization/instantly-9887,403,LOW,,"Access blocked, manual check needed"
instantly-ai-sales-agent,Instantly AI Sales Agent,https://www.producthunt.com/products/instantly,403,LOW,,"Access blocked, manual check needed"
intent,Intent,https://www.g2.com/products/augment-code/reviews,403,LOW,,"Access blocked, manual check needed"
intent,Intent,https://news.ycombinator.com/from?site=augmentcode.com,405,LOW,,Unexpected status 405
intercom,Intercom,https://www.g2.com/products/intercom/reviews,403,LOW,,"Access blocked, manual check needed"
intercom-fin,Intercom Fin,https://www.g2.com/products/intercom/reviews,403,LOW,,"Access blocked, manual check needed"
intercom-fin,Intercom Fin,https://www.crunchbase.com/organization/intercom,403,LOW,,"Access blocked, manual check needed"
iris-ai,Iris.ai,https://www.crunchbase.com/organization/iris-ai,403,LOW,,"Access blocked, manual check needed"
jasper,Jasper,https://www.g2.com/products/jasper/reviews,403,LOW,,"Access blocked, manual check needed"
jasper,Jasper,https://www.producthunt.com/products/jasper,403,LOW,,"Access blocked, manual check needed"
jenni-ai,Jenni AI,https://www.crunchbase.com/organization/jenni-ai,403,LOW,,"Access blocked, manual check needed"
juicebox-peoplegpt,Juicebox (PeopleGPT),https://www.crunchbase.com/organization/juicebox-ai,403,LOW,,"Access blocked, manual check needed"
keenious,Keenious,https://www.crunchbase.com/organization/keenious,403,LOW,,"Access blocked, manual check needed"
kilo-code,Kilo Code,https://www.producthunt.com/products/kilocode,403,LOW,,"Access blocked, manual check needed"
kixie,Kixie,https://www.g2.com/products/kixie/reviews,403,LOW,,"Access blocked, manual check needed"
kixie,Kixie,https://www.crunchbase.com/organization/kixie,403,LOW,,"Access blocked, manual check needed"
klaviyo-ai,Klaviyo AI,https://www.g2.com/products/klaviyo/reviews,403,LOW,,"Access blocked, manual check needed"
knowzilla,Knowzilla,https://www.producthunt.com/products/knowzilla,403,LOW,,"Access blocked, manual check needed"
kodif,Kodif,https://www.g2.com/products/kodif/reviews,403,LOW,,"Access blocked, manual check needed"
kodif,Kodif,https://www.crunchbase.com/organization/kodif,403,LOW,,"Access blocked, manual check needed"
kommunicate,Kommunicate,https://www.g2.com/products/kommunicate/reviews,403,LOW,,"Access blocked, manual check needed"
kustomer,Kustomer,https://www.g2.com/products/kustomer/reviews,403,LOW,,"Access blocked, manual check needed"
lately,Lately,https://www.crunchbase.com/organization/lately-3,403,LOW,,"Access blocked, manual check needed"
lattice,Lattice,https://www.g2.com/products/lattice/reviews,403,LOW,,"Access blocked, manual check needed"
lavender,Lavender,https://www.g2.com/products/lavender/reviews,403,LOW,,"Access blocked, manual check needed"
leapsome,Leapsome,https://www.g2.com/products/leapsome/reviews,403,LOW,,"Access blocked, manual check needed"
leapsome,Leapsome,https://www.crunchbase.com/organization/leapsome,403,LOW,,"Access blocked, manual check needed"
leena-ai,Leena AI,https://www.g2.com/products/leena-ai/reviews,403,LOW,,"Access blocked, manual check needed"
leena-ai,Leena AI,https://www.crunchbase.com/organization/leena-ai,403,LOW,,"Access blocked, manual check needed"
lemlist,lemlist,https://www.g2.com/products/lemlist/reviews,403,LOW,,"Access blocked, manual check needed"
lemlist,lemlist,https://www.crunchbase.com/organization/lemlist,403,LOW,,"Access blocked, manual check needed"
lever,Lever,https://www.g2.com/products/lever/reviews,403,LOW,,"Access blocked, manual check needed"
lightfield,Lightfield,https://www.crunchbase.com/organization/lightfield,403,LOW,,"Access blocked, manual check needed"
lindy,Lindy,https://www.g2.com/products/lindy/reviews,403,LOW,,"Access blocked, manual check needed"
lindy-ai-sales-agent,Lindy AI Sales Agent,https://www.crunchbase.com/organization/lindy-ai,403,LOW,,"Access blocked, manual check needed"
litmaps,Litmaps,https://www.crunchbase.com/organization/litmaps,403,LOW,,"Access blocked, manual check needed"
luma-agents,Luma Agents,https://www.crunchbase.com/organization/luma-ai,403,LOW,,"Access blocked, manual check needed"
luma-agents,Luma Agents,https://www.producthunt.com/products/luma-agents,403,LOW,,"Access blocked, manual check needed"
lumen5,Lumen5,https://www.g2.com/products/lumen5/reviews,403,LOW,,"Access blocked, manual check needed"
lumen5,Lumen5,https://www.crunchbase.com/organization/lumen5,403,LOW,,"Access blocked, manual check needed"
make,Make,https://www.g2.com/products/make/reviews,403,LOW,,"Access blocked, manual check needed"
marketmuse,MarketMuse,https://www.g2.com/products/marketmuse/reviews,403,LOW,,"Access blocked, manual check needed"
mavenoid,Mavenoid,https://www.g2.com/products/mavenoid/reviews,403,LOW,,"Access blocked, manual check needed"
mavenoid,Mavenoid,https://www.crunchbase.com/organization/mavenoid,403,LOW,,"Access blocked, manual check needed"
mem0,Mem0,https://www.g2.com/products/mem0/reviews,403,LOW,,"Access blocked, manual check needed"
mixmax,Mixmax,https://www.g2.com/products/mixmax/reviews,403,LOW,,"Access blocked, manual check needed"
mixmax,Mixmax,https://www.crunchbase.com/organization/mixmax,403,LOW,,"Access blocked, manual check needed"
monday-crm,monday CRM,https://www.g2.com/products/monday-com-monday-sales-crm/reviews,403,LOW,,"Access blocked, manual check needed"
mutiny,Mutiny,https://www.g2.com/products/mutiny-hq/reviews,403,LOW,,"Access blocked, manual check needed"
mutiny,Mutiny,https://www.crunchbase.com/organization/mutiny-3,403,LOW,,"Access blocked, manual check needed"
n8n,n8n,https://www.g2.com/products/n8n/reviews,403,LOW,,"Access blocked, manual check needed"
navattic,Navattic,https://www.g2.com/products/navattic/reviews,403,LOW,,"Access blocked, manual check needed"
navattic,Navattic,https://www.crunchbase.com/organization/navattic,403,LOW,,"Access blocked, manual check needed"
netomi,Netomi,https://www.crunchbase.com/organization/netomi,403,LOW,,"Access blocked, manual check needed"
notion-ai,Notion AI,https://www.g2.com/products/notion/reviews,403,LOW,,"Access blocked, manual check needed"
nova-recruiter,Nova Recruiter,https://www.crunchbase.com/organization/nova-talent,403,LOW,,"Access blocked, manual check needed"
ocoya,Ocoya,https://www.g2.com/products/ocoya/reviews,403,LOW,,"Access blocked, manual check needed"
ocoya,Ocoya,https://www.crunchbase.com/organization/ocoya,403,LOW,,"Access blocked, manual check needed"
openai-codex,OpenAI Codex,https://www.g2.com/products/openai-codex/reviews,403,LOW,,"Access blocked, manual check needed"
opencode,OpenCode,https://www.crunchbase.com/organization/anomaly-ai,403,LOW,,"Access blocked, manual check needed"
openhands,OpenHands,https://www.g2.com/products/openhands/reviews,403,LOW,,"Access blocked, manual check needed"
openhands,OpenHands,https://www.crunchbase.com/organization/all-hands-ai,403,LOW,,"Access blocked, manual check needed"
optimizely-ai,Optimizely AI,https://www.g2.com/products/optimizely-web-experimentation/reviews,403,LOW,,"Access blocked, manual check needed"
opus-clip,Opus Clip,https://www.crunchbase.com/organization/opus-7,403,LOW,,"Access blocked, manual check needed"
orange-slice,Orange Slice,https://www.producthunt.com/products/orange-slice,403,LOW,,"Access blocked, manual check needed"
orum,Orum,https://www.g2.com/products/orum/reviews,403,LOW,,"Access blocked, manual check needed"
otio,Otio,https://www.crunchbase.com/organization/otio,403,LOW,,"Access blocked, manual check needed"
outreach,Outreach,https://www.g2.com/products/outreach/reviews,403,LOW,,"Access blocked, manual check needed"
ovren,Ovren,https://www.producthunt.com/products/ovren,403,LOW,,"Access blocked, manual check needed"
papayo-ai,Papayo.ai,https://www.crunchbase.com/organization/papayo-f357,403,LOW,,"Access blocked, manual check needed"
papayo-ai,Papayo.ai,https://pitchbook.com/profiles/company/697128-31,403,LOW,,"Access blocked, manual check needed"
paradox,Paradox,https://www.g2.com/products/paradox/reviews,403,LOW,,"Access blocked, manual check needed"
phenom,Phenom,https://www.g2.com/products/phenom/reviews,403,LOW,,"Access blocked, manual check needed"
pieces-for-developers,Pieces for Developers,https://www.g2.com/products/pieces/reviews,403,LOW,,"Access blocked, manual check needed"
pipedrive-ai,Pipedrive AI,https://www.g2.com/products/pipedrive/reviews,403,LOW,,"Access blocked, manual check needed"
plandex,Plandex,https://www.crunchbase.com/organization/plandex,403,LOW,,"Access blocked, manual check needed"
poolside,Poolside,https://www.crunchbase.com/organization/poolside-ai,403,LOW,,"Access blocked, manual check needed"
predis-ai,Predis.ai,https://www.g2.com/products/predis-ai/reviews,403,LOW,,"Access blocked, manual check needed"
qualified,Qualified,https://www.g2.com/products/qualified/reviews,403,LOW,,"Access blocked, manual check needed"
qualified,Qualified,https://www.crunchbase.com/organization/qualified-com,403,LOW,,"Access blocked, manual check needed"
quiq,Quiq,https://www.g2.com/products/quiq-messaging/reviews,403,LOW,,"Access blocked, manual check needed"
quiq,Quiq,https://www.crunchbase.com/organization/quiq,403,LOW,,"Access blocked, manual check needed"
rayyan,Rayyan,https://www.crunchbase.com/organization/rayyan-systems,403,LOW,,"Access blocked, manual check needed"
reamaze,Re:amaze,https://www.g2.com/products/re-amaze/reviews,403,LOW,,"Access blocked, manual check needed"
reclaim-ai,Reclaim.ai,https://www.g2.com/products/reclaim-ai/reviews,403,LOW,,"Access blocked, manual check needed"
regie-ai,Regie.ai,https://www.crunchbase.com/organization/regie-ai,403,LOW,,"Access blocked, manual check needed"
richpanel,Richpanel,https://www.g2.com/products/richpanel/reviews,403,LOW,,"Access blocked, manual check needed"
richpanel,Richpanel,https://www.crunchbase.com/organization/richpanel,403,LOW,,"Access blocked, manual check needed"
rippling,Rippling,https://www.crunchbase.com/organization/rippling,403,LOW,,"Access blocked, manual check needed"
roo-code,Roo Code,https://www.crunchbase.com/organization/roo-code,403,LOW,,"Access blocked, manual check needed"
salesbricks,Salesbricks,https://www.g2.com/products/salesbricks/reviews,403,LOW,,"Access blocked, manual check needed"
salesforce-agentforce,Salesforce Agentforce,https://www.g2.com/products/salesforce-agentforce/reviews,403,LOW,,"Access blocked, manual check needed"
salesforce-einstein-service,Salesforce Einstein Service Cloud,https://www.g2.com/products/salesforce-service-cloud/reviews,403,LOW,,"Access blocked, manual check needed"
salesforce-sales-cloud-einstein,Salesforce Sales Cloud Einstein,https://www.g2.com/products/salesforce-sales-cloud/reviews,403,LOW,,"Access blocked, manual check needed"
salesloft,Salesloft,https://www.g2.com/products/salesloft/reviews,403,LOW,,"Access blocked, manual check needed"
sap-successfactors,SAP SuccessFactors,https://www.g2.com/products/sap-successfactors/reviews,403,LOW,,"Access blocked, manual check needed"
